Model,Accel,Trials,batchsize,50th_pct,90th_pct,avg_latency(ms),Min,Max,Accuracy,Normalized_Accuracy
efficientnet-b0,onnxruntime_cpu,100,2,53.8938045501709,55.97090721130371,54.192636013031006,52.049875259399414,60.561180114746094,77.1,91.45907473309607
efficientnet-b0,onnxruntime_cpu,100,4,104.85291481018066,111.37223243713379,105.97585439682007,103.33824157714844,119.30489540100098,77.1,91.45907473309607
efficientnet-b0,onnxruntime_cpu,100,8,210.11686325073242,216.37392044067383,211.39481782913208,208.21833610534668,249.36199188232422,77.1,91.45907473309607
efficientnet-b0,onnxruntime_cpu,100,16,427.1411895751953,444.9138641357422,429.85037088394165,419.27099227905273,473.6919403076172,77.1,91.45907473309607
efficientnet-b1,onnxruntime_cpu,100,1,37.734031677246094,38.21301460266113,37.77562141418457,37.13703155517578,40.415048599243164,79.1,93.83155397390273
efficientnet-b1,onnxruntime_cpu,100,2,74.64194297790527,75.99425315856934,74.92342233657837,73.87709617614746,81.00605010986328,79.1,93.83155397390273
efficientnet-b1,onnxruntime_cpu,100,4,148.9880084991455,150.82335472106934,149.1268014907837,147.16601371765137,154.10828590393066,79.1,93.83155397390273
efficientnet-b1,onnxruntime_cpu,100,8,300.1220226287842,306.0910701751709,301.0996985435486,297.4069118499756,327.120304107666,79.1,93.83155397390273
efficientnet-b1,onnxruntime_cpu,100,16,603.5060882568359,609.0028285980225,605.0701665878296,599.3289947509766,651.9210338592529,79.1,93.83155397390273
efficientnet-b1,onnxruntime_cpu,100,1,37.90593147277832,38.44571113586426,37.93269395828247,37.387847900390625,39.44993019104004,79.1,93.83155397390273
efficientnet-b1,onnxruntime_cpu,100,2,74.72419738769531,75.81686973571777,74.89701271057129,73.74000549316406,79.77604866027832,79.1,93.83155397390273
efficientnet-b1,onnxruntime_cpu,100,4,149.38902854919434,150.75373649597168,149.65941190719604,148.0240821838379,156.25691413879395,79.1,93.83155397390273
efficientnet-b1,onnxruntime_cpu,100,8,299.5152473449707,302.0658493041992,300.23890495300293,297.8849411010742,316.478967666626,79.1,93.83155397390273
efficientnet-b1,onnxruntime_cpu,100,16,605.3690910339355,620.8839416503906,610.0149273872375,599.8759269714355,713.9992713928223,79.1,93.83155397390273
efficientnet-b3,onnxruntime_cpu,100,1,57.092905044555664,58.424949645996094,57.43549823760986,56.687116622924805,63.06099891662598,81.6,96.79715302491103
efficientnet-b3,onnxruntime_cpu,100,2,112.55502700805664,114.27903175354004,112.88146257400513,112.07103729248047,118.62397193908691,81.6,96.79715302491103
efficientnet-b3,onnxruntime_cpu,100,4,225.71492195129395,228.9562225341797,226.34447813034058,223.93798828125,241.28317832946777,81.6,96.79715302491103
efficientnet-b3,onnxruntime_cpu,100,8,453.2191753387451,457.75794982910156,454.3227458000183,450.79779624938965,492.58995056152344,81.6,96.79715302491103
efficientnet-b3,onnxruntime_cpu,100,16,914.1149520874023,920.853853225708,915.5214071273804,907.2568416595459,994.8620796203613,81.6,96.79715302491103
efficientnet-b5,onnxruntime_cpu,100,1,120.76997756958008,121.75416946411133,120.9525990486145,120.11003494262695,127.35176086425781,83.6,99.16963226571767
efficientnet-b5,onnxruntime_cpu,100,2,238.51490020751953,240.65899848937988,238.86568784713745,237.1969223022461,248.24190139770508,83.6,99.16963226571767
efficientnet-b5,onnxruntime_cpu,100,4,475.73089599609375,479.4437885284424,476.3666582107544,472.135066986084,497.38287925720215,83.6,99.16963226571767
efficientnet-b5,onnxruntime_cpu,100,8,951.9031047821045,959.9950313568115,952.9755163192749,942.7659511566162,992.8591251373291,83.6,99.16963226571767
efficientnet-b5,onnxruntime_cpu,100,16,1907.9148769378662,1946.0620880126953,1914.324872493744,1892.9100036621094,2016.1221027374268,83.6,99.16963226571767
efficientnet-b7,onnxruntime_cpu,100,1,239.60494995117188,242.91586875915527,240.40667295455933,236.8183135986328,257.73119926452637,84.3,100.0
efficientnet-b7,onnxruntime_cpu,100,2,469.635009765625,473.8891124725342,470.57868242263794,464.94579315185547,494.3087100982666,84.3,100.0
efficientnet-b7,onnxruntime_cpu,100,4,932.4407577514648,941.8859481811523,935.0667071342468,923.3160018920898,1074.3370056152344,84.3,100.0
efficientnet-b7,onnxruntime_cpu,100,8,1869.8410987854004,1886.1727714538574,1870.3043580055237,1851.0351181030273,1904.3593406677246,84.3,100.0
efficientnet-b7,onnxruntime_cpu,100,16,3793.787956237793,3838.1330966949463,3798.3622217178345,3750.282049179077,3995.375871658325,84.3,100.0
gpt2,onnxruntime_gpu_pascal,1000,1,130.42330741882324,131.6051483154297,131.21773982048035,129.67205047607422,611.4523410797119,83.4,93.65524985962944
gpt2,onnxruntime_gpu_pascal,1000,2,134.7196102142334,135.82944869995117,135.00413727760315,133.9864730834961,143.68391036987305,83.4,93.65524985962944
gpt2,onnxruntime_gpu_pascal,1000,4,135.97512245178223,137.8335952758789,136.34203791618347,135.01548767089844,143.01109313964844,83.4,93.65524985962944
gpt2,onnxruntime_gpu_pascal,1000,8,139.00995254516602,140.0744915008545,139.27428078651428,138.23604583740234,145.94125747680664,83.4,93.65524985962944
gpt2,onnxruntime_gpu_pascal,1000,16,140.17558097839355,141.20054244995117,140.44989204406738,139.4338607788086,146.9588279724121,83.4,93.65524985962944
gpt2-medium,onnxruntime_gpu_pascal,1000,1,249.74775314331055,252.31313705444336,250.41745281219485,247.85470962524414,413.9840602874756,87.1,97.81021897810218
gpt2-medium,onnxruntime_gpu_pascal,1000,2,261.7948055267334,265.8510208129883,261.83926129341125,256.32619857788086,284.6677303314209,87.1,97.81021897810218
gpt2-medium,onnxruntime_gpu_pascal,1000,4,258.1629753112793,259.7506046295166,258.4925765991211,257.0042610168457,269.58465576171875,87.1,97.81021897810218
gpt2-medium,onnxruntime_gpu_pascal,1000,8,258.8534355163574,260.378360748291,259.25182056427,257.8275203704834,314.79787826538086,87.1,97.81021897810218
gpt2-medium,onnxruntime_gpu_pascal,1000,16,261.000394821167,262.6171112060547,261.30623841285706,260.0831985473633,270.5070972442627,87.1,97.81021897810218
gpt2-large,onnxruntime_gpu_pascal,1000,1,370.36895751953125,372.47419357299805,370.7366819381714,368.71862411499023,379.3225288391113,88.0,98.82088714205503
gpt2-large,onnxruntime_gpu_pascal,1000,2,384.3073844909668,386.29913330078125,384.69527292251587,382.108211517334,402.65345573425293,88.0,98.82088714205503
gpt2-large,onnxruntime_gpu_pascal,1000,4,387.0418071746826,389.758825302124,387.7447328567505,385.36882400512695,413.51771354675293,88.0,98.82088714205503
gpt2-large,onnxruntime_gpu_pascal,1000,8,393.90063285827637,396.7471122741699,394.5268392562866,392.2891616821289,418.2560443878174,88.0,98.82088714205503
gpt2-large,onnxruntime_gpu_pascal,1000,16,402.909517288208,405.7049751281738,403.51974177360535,400.5413055419922,423.42567443847656,88.0,98.82088714205503
gpt2-xl,onnxruntime_gpu_pascal,1000,1,491.6403293609619,494.7550296783447,492.5039644241333,489.4144535064697,515.4099464416504,89.05,100.0
gpt2,onnxruntime_cpu,100,1,263.30113410949707,282.8941345214844,266.72654390335083,252.34699249267578,311.4349842071533,83.4,93.65524985962944
gpt2,onnxruntime_cpu,100,2,365.97204208374023,384.6578598022461,369.3768644332886,359.2100143432617,415.496826171875,83.4,93.65524985962944
gpt2,onnxruntime_cpu,100,4,357.96523094177246,373.6381530761719,361.5808629989624,351.4978885650635,428.4090995788574,83.4,93.65524985962944
gpt2,onnxruntime_cpu,100,8,410.3550910949707,415.7438278198242,410.686731338501,403.7971496582031,424.267053604126,83.4,93.65524985962944
gpt2,onnxruntime_cpu,100,16,535.6671810150146,550.2629280090332,536.6652655601501,506.2751770019531,618.905782699585,83.4,93.65524985962944
gpt2-medium,onnxruntime_cpu,100,1,735.4061603546143,747.7989196777344,737.1245217323303,724.9331474304199,763.542890548706,87.1,97.81021897810218
gpt2-medium,onnxruntime_cpu,100,2,1969.4299697875977,2014.707088470459,1976.1219358444214,1920.0170040130615,2267.021894454956,87.1,97.81021897810218
gpt2-medium,onnxruntime_cpu,100,4,1960.9951972961426,2040.4348373413086,1971.6794848442078,1889.5950317382812,2693.9120292663574,87.1,97.81021897810218
gpt2-medium,onnxruntime_cpu,100,8,2035.853624343872,2097.9490280151367,2050.8566999435425,2003.8940906524658,2215.007781982422,87.1,97.81021897810218
gpt2-medium,onnxruntime_cpu,100,16,2234.149217605591,2249.307870864868,2235.8135986328125,2198.9760398864746,2365.617275238037,87.1,97.81021897810218
gpt2-large,onnxruntime_cpu,100,1,1537.2769832611084,1641.2928104400635,1560.3970956802368,1498.5790252685547,1928.8218021392822,88.0,98.82088714205503
gpt2-large,onnxruntime_cpu,100,2,2424.0880012512207,2513.0810737609863,2435.2172899246216,2354.717969894409,2598.221778869629,88.0,98.82088714205503
gpt2-large,onnxruntime_cpu,100,4,2539.797067642212,2618.87788772583,2548.4915590286255,2449.3730068206787,2792.407989501953,88.0,98.82088714205503
gpt2-large,onnxruntime_cpu,100,8,2702.677011489868,2736.3100051879883,2705.9719586372375,2650.1259803771973,2903.0370712280273,88.0,98.82088714205503
gpt2-large,onnxruntime_cpu,100,16,2466.1741256713867,2544.1558361053467,2470.3072381019592,2370.3670501708984,2575.629234313965,88.0,98.82088714205503
gpt2-xl,onnxruntime_cpu,100,1,2870.921850204468,2895.531177520752,2912.0791459083557,2847.9039669036865,6526.90315246582,89.05,100.0
gpt2-xl,onnxruntime_cpu,100,2,3457.2269916534424,3514.049768447876,3493.1476831436157,3405.034303665161,6135.071039199829,89.05,100.0
gpt2-xl,onnxruntime_cpu,100,4,3598.017930984497,3627.937078475952,3619.7541666030884,3506.150245666504,5747.046947479248,89.05,100.0
gpt2-xl,onnxruntime_cpu,100,8,3926.1040687561035,3953.7360668182373,3957.7650690078735,3882.7061653137207,6816.074848175049,89.05,100.0
gpt2-xl,onnxruntime_cpu,100,16,3673.4001636505127,3790.1670932769775,34858.419127464294,3518.286943435669,1018194.1151618958,89.05,100.0
gpt2,onnxruntime_gpu_ampere,100,1,204.19669151306152,204.93483543395996,208.5338282585144,203.34792137145996,628.4937858581543,83.4,93.65524985962944
gpt2,onnxruntime_gpu_ampere,100,2,201.45130157470703,202.5609016418457,201.6437792778015,200.72102546691895,205.29484748840332,83.4,93.65524985962944
gpt2,onnxruntime_gpu_ampere,100,4,206.21800422668457,216.48669242858887,210.38378715515137,204.87070083618164,217.57221221923828,83.4,93.65524985962944
gpt2,onnxruntime_gpu_ampere,100,8,217.3910140991211,218.42193603515625,214.77374792099,207.66019821166992,220.79873085021973,83.4,93.65524985962944
gpt2,onnxruntime_gpu_ampere,100,16,207.67927169799805,209.9301815032959,208.0136513710022,206.88152313232422,210.93297004699707,83.4,93.65524985962944
gpt2-medium,onnxruntime_gpu_ampere,100,1,388.60273361206055,391.05963706970215,388.5003328323364,385.18786430358887,393.5070037841797,87.1,97.81021897810218
gpt2-medium,onnxruntime_gpu_ampere,100,2,399.0821838378906,402.4171829223633,399.2286252975464,395.91312408447266,404.7727584838867,87.1,97.81021897810218
gpt2-medium,onnxruntime_gpu_ampere,100,4,393.77689361572266,394.72126960754395,393.77718210220337,392.474889755249,395.49899101257324,87.1,97.81021897810218
gpt2-medium,onnxruntime_gpu_ampere,100,8,396.5902328491211,397.4010944366455,396.68128490448,395.27034759521484,402.14085578918457,87.1,97.81021897810218
gpt2-medium,onnxruntime_gpu_ampere,100,16,397.0165252685547,397.7854251861572,397.16765880584717,396.0225582122803,401.1569023132324,87.1,97.81021897810218
gpt2-large,onnxruntime_gpu_ampere,100,1,590.7986164093018,595.8230495452881,591.5198850631714,588.3450508117676,598.435640335083,88.0,98.82088714205503
gpt2-large,onnxruntime_gpu_ampere,100,2,627.7532577514648,631.3562393188477,628.5587334632874,626.1312961578369,640.9909725189209,88.0,98.82088714205503
